,Group,Outside,Phytoplankton,Macroalgae,Zooplankton,Meiobenthos,Benthic invertebrates,Small pelagics (juv),Small pelagics (adult),Demersal fish,Large pelagics,Seabirds,Detritus,Discards
0,Phytoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Macroalgae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Zooplankton,0.0,0.5806451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
3,Meiobenthos,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,0.4
4,Benthic invertebrates,0.0,0.03225806451612903,1.0,0.0,0.37499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.26086956521739124,0.0
5,Small pelagics (juv),0.0,0.1935483870967742,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0
6,Small pelagics (adult),0.0,0.12903225806451613,0.0,0.33333333333333337,0.125,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.13043478260869562,0.2
7,Demersal fish,0.0,0.0,0.0,0.08333333333333334,0.5,0.6,0.15384615384615385,0.11111111111111112,0.0,0.0,0.0,0.08695652173913043,0.4
8,Large pelagics,0.0,0.0,0.0,0.16666666666666669,0.0,0.2,0.3076923076923077,0.3333333333333333,0.5,0.0,0.0,0.043478260869565216,0.0
9,Seabirds,0.0,0.0,0.0,0.0,0.0,0.2,0.4615384615384615,0.5555555555555556,0.5,0.0,0.0,0.0,0.0
10,Detritus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Discards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phytoplankton,,0.0,,,,,,,,,,,,
